dataset,material,angle_deg,refractive_index,fft_thickness_um,peak_thickness_um,valley_thickness_um,two_beam_thickness_um,two_beam_rmse_pct,multi_beam_thickness_um,multi_beam_rmse_pct,effective_reflectivity,harmonic_ratio,delta_aicc,rmse_improvement_pct,observable_multibeam,selected_model,selected_thickness_um,bootstrap_std_um,bootstrap_ci95_low_um,bootstrap_ci95_high_um,effective_extrema_count,fit_band_lo_cm1,fit_band_hi_cm1,dispersion_fitted_thickness_um,dispersion_adopted_thickness_um,dispersion_systematic_low_um,dispersion_systematic_high_um,dispersion_stat_ci95_low_um,dispersion_stat_ci95_high_um,candidate_epi_carrier_cm3,candidate_substrate_carrier_cm3,dispersion_candidate_identifiable,epi_carrier_cm3,substrate_carrier_cm3,carrier_identifiability_level,carrier_measurement_mode
sic_10,SiC,10.0,2.55,7.723834364723475,7.839414757995669,7.925785674961702,7.882600216478686,0.3559944998295777,8.448785928158149,0.27324597057771527,0.002,0.01855835213703244,3072.401242371221,23.24432801390919,False,two-beam,7.882600216478686,0.12318646285922305,7.6454036580114035,8.135655087209146,22,1200.0,4000.0,7.722230230589576,7.83702069053355,7.147891354797241,8.334156541441242,7.641073612073504,8.032967768993597,1.0891454752823976e+17,3.455946134259544e+18,False,,,bounded_scenario,relative_shape
sic_15,SiC,15.0,2.55,7.745906481306273,7.810742665958064,7.7721396632187645,7.791441164588415,0.3573104270873323,8.333315225527095,0.2648006511730152,0.004838186752333837,0.03663826716063821,3479.8756947496277,25.890589499003408,False,two-beam,7.791441164588415,0.17110711966603653,7.457869438786754,8.101841867476562,22,1200.0,4000.0,7.722230230589576,7.83702069053355,7.147891354797241,8.334156541441242,7.641073612073504,8.032967768993597,1.0891454752823976e+17,3.455946134259544e+18,False,,,bounded_scenario,relative_shape
si_10,Si,10.0,3.42,3.6610327114585632,3.3625162237611943,3.4425765104021426,3.4025463670816682,0.7098583473470726,3.597949686961862,0.6251700895061773,0.4097612594234543,0.19620477976085243,1475.4621113517037,11.930303863777567,True,multi-beam,3.597949686961862,0.04425421477863307,3.3269757926661705,3.498591109341559,13,1200.0,4000.0,3.3456360233479243,3.414231907026287,3.1602050137321993,3.884553072393689,3.343543172077189,3.484920641975385,1.0346456142396454e+16,2.9999999999999767e+19,False,,,not_run_v5,not_run_v5
si_15,Si,15.0,3.42,3.142993616681712,3.349292315328704,3.4716430657795114,3.410467690554108,0.7852616109737601,3.5843232250460453,0.7173019427784392,0.4219976868081384,0.22160394732825228,1051.2998962499364,8.654398387188172,True,multi-beam,3.5843232250460453,0.06223492051462157,3.2865350722153144,3.496768603062943,13,1200.0,4000.0,3.3456360233479243,3.414231907026287,3.1602050137321993,3.884553072393689,3.343543172077189,3.484920641975385,1.0346456142396454e+16,2.9999999999999767e+19,False,,,not_run_v5,not_run_v5
