dataset,material,angle_deg,refractive_index,fft_thickness_um,peak_thickness_um,valley_thickness_um,two_beam_thickness_um,two_beam_rmse_pct,multi_beam_thickness_um,multi_beam_rmse_pct,effective_reflectivity,harmonic_ratio,delta_aicc,rmse_improvement_pct,observable_multibeam,selected_model,selected_thickness_um,bootstrap_std_um,bootstrap_ci95_low_um,bootstrap_ci95_high_um,effective_extrema_count,fit_band_lo_cm1,fit_band_hi_cm1
sic_10,SiC,10.0,2.55,7.723834364723475,7.839414757995669,7.925785674961702,7.882600216478686,0.35599449984065334,8.449111366563422,0.2732303608614217,0.004931276619237556,0.01855835213880671,3073.06473439597,23.248712835810014,False,two-beam,7.882600216478686,0.12318646285922305,7.6454036580114035,8.135655087209146,22,1200.0,4000.0
sic_15,SiC,15.0,2.55,7.745906481306273,7.810742665958064,7.7721396632187645,7.791441164588415,0.3573104270938033,8.333315407713537,0.2648006511865637,0.004838131248504978,0.0366382671591428,3479.8756943657336,25.890589496553748,False,two-beam,7.791441164588415,0.17110711966603653,7.457869438786754,8.101841867476562,22,1200.0,4000.0
si_10,Si,10.0,3.42,3.6610327114585632,3.3625162237611943,3.4425765104021426,3.4025463670816682,0.7098583473729596,3.5979496816594745,0.6251700895567502,0.4097612629643482,0.19620477977314368,1475.4621108357278,11.930303859864896,True,multi-beam,3.5979496816594745,0.04425421477863307,3.3269757926661705,3.498591109341559,13,1200.0,4000.0
si_15,Si,15.0,3.42,3.142993616681712,3.349292315328704,3.4716430657795114,3.410467690554108,0.7852616109959818,3.584323271751755,0.7173019428069832,0.42199776067669387,0.22160394733961017,1051.2998961164303,8.654398386138134,True,multi-beam,3.584323271751755,0.06223492051462157,3.2865350722153144,3.496768603062943,13,1200.0,4000.0
