dataset,region,lo_cm1,hi_cm1,role,point_count,R_mean_pct,R_min_pct,R_max_pct,R_std_pct,mean_abs_dR_dnu,residual_std_pct,envelope_residual_ratio,fft_thickness_um,extrema_count
sic_10,400-797,400.0,797.0,普通反射区,824,35.72321180082524,21.31739042,86.06954548,11.207679041086084,0.10987555741069419,3.0182227925927285,3.7133749613492433,14.84212355309907,7
sic_10,797-1000,797.0,1000.0,Reststrahlen/声子强吸收,421,80.71319039676249,2.829861503,95.38499492,29.099315627204984,0.26781146602899725,8.23339576913447,3.5333102339577693,19.366444667857785,4
sic_10,1000-1100,1000.0,1100.0,吸收谷底,207,5.241848182053139,0.636093383,9.439426131,3.0888811001968146,0.07577013533697657,1.1497850605646736,2.6863966475019954,19.697982501514808,2
sic_10,1100-1200,1100.0,1200.0,过渡区（干涉刚恢复）,208,8.968859583211538,6.542357128,13.08885867,2.1911904073811934,0.04081765990292276,0.09786395644794971,22.389234104600913,19.60328066256522,3
sic_10,1200-4000,1200.0,4000.0,透明干涉主区,5807,17.20782804633718,11.41959803,18.68479073,1.5653573310837445,0.005566566086292419,0.5131529755451963,3.050392515073578,7.723834364723475,24
sic_10,1100-4000,1100.0,4000.0,原 dev 默认窗,6015,16.922922736224105,6.542357128,18.68479073,2.1903870701647326,0.006781802940929399,0.5901235480811061,3.711712044022563,8.13462818516422,25
sic_15,400-797,400.0,797.0,普通反射区,824,38.85779637996359,23.35668326,92.24365575,11.755836015730168,0.11847902391139588,3.3895127165505614,3.4681611172058746,14.884537342148782,7
sic_15,797-1000,797.0,1000.0,Reststrahlen/声子强吸收,421,86.56752829931592,3.008029103,102.7393552,31.11881402375883,0.274858544904371,7.545118833688198,4.123619029799925,19.4217874424848,4
sic_15,1000-1100,1000.0,1100.0,吸收谷底,207,5.524886357613525,0.976744442,10.72825076,3.2452125706979613,0.08605789529618355,1.3899500747264124,2.334615400274881,19.75427269958082,2
sic_15,1100-1200,1100.0,1200.0,过渡区（干涉刚恢复）,208,9.40445035895673,7.294180622,13.45820193,1.8546956169257454,0.042471863104810735,0.1568289153129795,11.826127000616465,19.659300234678987,3
sic_15,1200-4000,1200.0,4000.0,透明干涉主区,5807,18.016500036364732,12.32064056,19.74900899,1.607441278697582,0.005833623382331004,0.5116548597691403,3.1415556299758927,7.745906481306273,23
sic_15,1100-4000,1100.0,4000.0,原 dev 默认窗,6015,17.718693497229093,7.294180622,19.74900899,2.255993148248147,0.007098930338402869,0.6133985649116416,3.677803880812078,8.15787421209622,24
